ring,category,family,value,fraction
Ring4_pypahdb_pahonly_full,charge,NEUTRAL,0.39476265535162575,0.2801044611728735
Ring4_pypahdb_pahonly_full,charge,CATION,0.6763310941945642,0.47989178851045583
Ring4_pypahdb_pahonly_full,charge,ANION,0.3382470860072576,0.24000375031667065
Ring4_pypahdb_pahonly_full,size,LARGE,0.08708115453250985,0.08708115453250985
Ring4_pypahdb_pahonly_full,size,MEDIUM,0.40708559113244935,0.40708559113244935
Ring4_pypahdb_pahonly_full,size,SMALL,0.5058332543350408,0.5058332543350408
Ring4_pypahdb_pahonly_full,extra,NC,1.4750042145365834e+20,
Ring4_pypahdb_pahonly_full,extra,CATION_NEUTRAL_RATIO,0.6763310941945642,
Ring4_pypahdb_pahonly_full,extra,ERROR,0.2530065893195646,
