ring,category,family,value,fraction
Ring1_pypahdb_pahonly_full,charge,NEUTRAL,0.8450389550132273,0.8337108086842597
Ring1_pypahdb_pahonly_full,charge,CATION,0.08768410670954883,0.08650865984329753
Ring1_pypahdb_pahonly_full,charge,ANION,0.0808645590816672,0.07978053147244268
Ring1_pypahdb_pahonly_full,size,LARGE,0.09773260862971055,0.09773260862971055
Ring1_pypahdb_pahonly_full,size,MEDIUM,0.2497708812377789,0.2497708812377789
Ring1_pypahdb_pahonly_full,size,SMALL,0.6524965101325105,0.6524965101325105
Ring1_pypahdb_pahonly_full,extra,NC,1.0586910895556812e+21,
Ring1_pypahdb_pahonly_full,extra,CATION_NEUTRAL_RATIO,0.08768410670954883,
Ring1_pypahdb_pahonly_full,extra,ERROR,0.648894369456054,
