ring,category,family,value,fraction
Ring5_pypahdb_pahonly_full,charge,NEUTRAL,0.39669124138508066,0.2938841304403945
Ring5_pypahdb_pahonly_full,charge,CATION,0.5798389557673418,0.4295670020748799
Ring5_pypahdb_pahonly_full,charge,ANION,0.3732917234481437,0.27654886748472557
Ring5_pypahdb_pahonly_full,size,LARGE,0.11175857751584628,0.11175857751584628
Ring5_pypahdb_pahonly_full,size,MEDIUM,0.3929195647693406,0.3929195647693406
Ring5_pypahdb_pahonly_full,size,SMALL,0.4953218577148132,0.4953218577148132
Ring5_pypahdb_pahonly_full,extra,NC,2.1901060069058416e+20,
Ring5_pypahdb_pahonly_full,extra,CATION_NEUTRAL_RATIO,0.5798389557673418,
Ring5_pypahdb_pahonly_full,extra,ERROR,0.24806687307774253,
