ring,category,family,value,fraction
Ring7_pypahdb_pahonly_full,charge,NEUTRAL,0.3685592154498365,0.2673212841958684
Ring7_pypahdb_pahonly_full,charge,CATION,0.5997594420354874,0.4350141240067455
Ring7_pypahdb_pahonly_full,charge,ANION,0.4103939151349326,0.297664591797386
Ring7_pypahdb_pahonly_full,size,LARGE,0.11610111013553256,0.11610111013553256
Ring7_pypahdb_pahonly_full,size,MEDIUM,0.3737408185497116,0.3737408185497116
Ring7_pypahdb_pahonly_full,size,SMALL,0.5101580713147559,0.5101580713147559
Ring7_pypahdb_pahonly_full,extra,NC,3.759515503795585e+20,
Ring7_pypahdb_pahonly_full,extra,CATION_NEUTRAL_RATIO,0.5997594420354874,
Ring7_pypahdb_pahonly_full,extra,ERROR,0.2400031359928714,
