ring,category,family,value,fraction
Ring3_pypahdb_pahonly_full,charge,NEUTRAL,0.46680964428570665,0.36747630515320967
Ring3_pypahdb_pahonly_full,charge,CATION,0.5069713396981442,0.39909191468380106
Ring3_pypahdb_pahonly_full,charge,ANION,0.2965312449667545,0.23343178016298916
Ring3_pypahdb_pahonly_full,size,LARGE,0.14909068383708712,0.14909068383708715
Ring3_pypahdb_pahonly_full,size,MEDIUM,0.36822520370291,0.36822520370291006
Ring3_pypahdb_pahonly_full,size,SMALL,0.4826841124600027,0.4826841124600028
Ring3_pypahdb_pahonly_full,extra,NC,1.5736330236115986e+20,
Ring3_pypahdb_pahonly_full,extra,CATION_NEUTRAL_RATIO,0.5069713396981442,
Ring3_pypahdb_pahonly_full,extra,ERROR,0.30919727729627855,
