x, y
cm-1, Jy
wavenumber, intensity
574.258847, 2.244571e+04
574.341302, 2.260595e+04
574.423781, 2.276376e+04
574.506284, 2.291872e+04
574.588810, 2.307043e+04
574.671360, 2.321846e+04
574.753933, 2.336238e+04
574.836531, 2.350178e+04
574.919152, 2.363626e+04
575.001797, 2.376541e+04
575.084466, 2.388887e+04
575.167158, 2.400628e+04
575.249874, 2.411732e+04
575.332614, 2.422172e+04
575.415378, 2.431921e+04
575.498166, 2.440959e+04
575.580977, 2.449271e+04
575.663812, 2.456846e+04
575.746671, 2.463677e+04
575.829554, 2.469764e+04
575.912461, 2.475112e+04
575.995392, 2.479728e+04
576.078347, 2.483628e+04
576.161325, 2.486830e+04
576.244328, 2.489358e+04
576.327354, 2.491239e+04
576.410404, 2.492503e+04
576.493478, 2.493185e+04
576.576577, 2.493319e+04
576.659699, 2.492945e+04
576.742845, 2.492102e+04
576.826015, 2.490832e+04
576.909209, 2.489174e+04
576.992427, 2.487171e+04
577.075669, 2.484863e+04
577.158935, 2.482291e+04
577.242225, 2.479493e+04
577.325539, 2.476507e+04
577.408878, 2.473369e+04
577.492240, 2.470114e+04
577.575626, 2.466774e+04
577.659037, 2.463379e+04
577.742471, 2.459957e+04
577.825930, 2.456533e+04
577.909413, 2.453132e+04
577.992920, 2.449775e+04
578.076451, 2.446481e+04
578.160006, 2.443268e+04
578.243585, 2.440151e+04
578.327189, 2.437143e+04
578.410816, 2.434256e+04
578.494468, 2.431500e+04
578.578144, 2.428884e+04
578.661844, 2.426414e+04
578.745569, 2.424096e+04
578.829318, 2.421934e+04
578.913091, 2.419931e+04
578.996888, 2.418090e+04
579.080709, 2.416412e+04
579.164555, 2.414897e+04
579.248425, 2.413544e+04
579.332320, 2.412353e+04
579.416238, 2.411323e+04
579.500181, 2.410450e+04
579.584148, 2.409732e+04
579.668140, 2.409166e+04
579.752156, 2.408749e+04
579.836196, 2.408478e+04
579.920261, 2.408347e+04
580.004350, 2.408353e+04
580.088463, 2.408492e+04
580.172601, 2.408759e+04
580.256764, 2.409150e+04
580.340950, 2.409660e+04
580.425161, 2.410284e+04
580.509397, 2.411018e+04
580.593657, 2.411856e+04
580.677941, 2.412795e+04
580.762250, 2.413829e+04
580.846584, 2.414954e+04
580.930942, 2.416165e+04
581.015324, 2.417457e+04
581.099731, 2.418826e+04
581.184163, 2.420268e+04
581.268619, 2.421777e+04
581.353099, 2.423350e+04
581.437604, 2.424983e+04
581.522134, 2.426670e+04
581.606688, 2.428409e+04
581.691267, 2.430195e+04
581.775871, 2.432023e+04
581.860499, 2.433891e+04
581.945152, 2.435794e+04
582.029829, 2.437729e+04
582.114531, 2.439692e+04
582.199258, 2.441679e+04
582.284009, 2.443688e+04
582.368785, 2.445714e+04
582.453586, 2.447755e+04
582.538411, 2.449807e+04
582.623261, 2.451868e+04
582.708136, 2.453934e+04
582.793036, 2.456002e+04
582.877960, 2.458069e+04
582.962909, 2.460134e+04
583.047883, 2.462192e+04
583.132881, 2.464241e+04
583.217905, 2.466279e+04
583.302953, 2.468304e+04
583.388026, 2.470312e+04
583.473124, 2.472302e+04
583.558246, 2.474271e+04
583.643394, 2.476216e+04
583.728566, 2.478137e+04
583.813763, 2.480030e+04
583.898985, 2.481894e+04
583.984232, 2.483727e+04
584.069504, 2.485527e+04
584.154801, 2.487291e+04
584.240123, 2.489019e+04
584.325469, 2.490708e+04
584.410841, 2.492357e+04
584.496237, 2.493964e+04
584.581659, 2.495527e+04
584.667105, 2.497046e+04
584.752577, 2.498518e+04
584.838073, 2.499942e+04
584.923594, 2.501317e+04
585.009141, 2.502641e+04
585.094712, 2.503914e+04
585.180309, 2.505133e+04
585.265930, 2.506298e+04
585.351577, 2.507408e+04
585.437248, 2.508462e+04
585.522945, 2.509458e+04
585.608667, 2.510396e+04
585.694414, 2.511274e+04
585.780186, 2.512092e+04
585.865983, 2.512849e+04
585.951805, 2.513545e+04
586.037653, 2.514177e+04
586.123526, 2.514746e+04
586.209423, 2.515251e+04
586.295346, 2.515691e+04
586.381294, 2.516066e+04
586.467268, 2.516375e+04
586.553266, 2.516618e+04
586.639290, 2.516794e+04
586.725339, 2.516902e+04
586.811413, 2.516943e+04
586.897513, 2.516916e+04
586.983638, 2.516820e+04
587.069788, 2.516656e+04
587.155963, 2.516423e+04
587.242164, 2.516121e+04
587.328390, 2.515749e+04
587.414641, 2.515308e+04
587.500918, 2.514798e+04
587.587220, 2.514218e+04
587.673547, 2.513569e+04
587.759900, 2.512849e+04
587.846278, 2.512061e+04
587.932682, 2.511203e+04
588.019111, 2.510275e+04
588.105565, 2.509279e+04
588.192045, 2.508213e+04
588.278550, 2.507079e+04
588.365081, 2.505876e+04
588.451637, 2.504605e+04
588.538218, 2.503266e+04
588.624825, 2.501859e+04
588.711458, 2.500385e+04
588.798116, 2.498845e+04
588.884799, 2.497238e+04
588.971509, 2.495565e+04
589.058243, 2.493827e+04
589.145003, 2.492024e+04
589.231789, 2.490156e+04
589.318600, 2.488225e+04
589.405437, 2.486231e+04
589.492300, 2.484175e+04
589.579188, 2.482057e+04
589.666102, 2.479878e+04
589.753041, 2.477639e+04
589.840006, 2.475340e+04
589.926997, 2.472982e+04
590.014013, 2.470567e+04
590.101055, 2.468094e+04
590.188122, 2.465565e+04
590.275216, 2.462981e+04
590.362335, 2.460343e+04
590.449480, 2.457651e+04
590.536650, 2.454907e+04
590.623846, 2.452111e+04
590.711068, 2.449265e+04
590.798316, 2.446370e+04
590.885590, 2.443426e+04
590.972889, 2.440435e+04
591.060214, 2.437397e+04
591.147565, 2.434315e+04
591.234942, 2.431189e+04
591.322345, 2.428021e+04
591.409773, 2.424810e+04
591.497227, 2.421560e+04
591.584708, 2.418271e+04
591.672214, 2.414944e+04
591.759746, 2.411580e+04
591.847303, 2.408182e+04
591.934887, 2.404750e+04
592.022497, 2.401285e+04
592.110132, 2.397789e+04
592.197794, 2.394264e+04
592.285482, 2.390710e+04
592.373195, 2.387130e+04
592.460935, 2.383524e+04
592.548700, 2.379895e+04
592.636492, 2.376243e+04
592.724309, 2.372570e+04
592.812153, 2.368877e+04
592.900022, 2.365167e+04
592.987918, 2.361441e+04
593.075840, 2.357700e+04
593.163787, 2.353947e+04
593.251761, 2.350181e+04
593.339761, 2.346407e+04
593.427787, 2.342624e+04
593.515839, 2.338834e+04
