2040.649703 3191.838634
2040.316617 3196.535170
2039.983640 3201.247588
2039.650772 3205.975993
2039.318012 3210.720487
2038.985361 3215.481175
2038.652819 3220.258163
2038.320384 3225.051558
2037.988059 3229.861466
2037.655841 3234.687997
2037.323732 3239.531260
2036.991731 3244.391365
2036.659838 3249.268424
2036.328054 3254.162549
2035.996377 3259.073855
2035.664809 3264.002456
2035.333348 3268.948467
2035.001996 3273.912005
2034.670751 3278.893189
2034.339614 3283.892138
2034.008585 3288.908971
2033.677663 3293.943809
2033.346850 3298.996776
2033.016144 3304.067995
2032.685545 3309.157590
2032.355054 3314.265688
2032.024670 3319.392415
2031.694394 3324.537900
2031.364225 3329.702273
2031.034164 3334.885664
2030.704209 3340.088206
2030.374362 3345.310031
2030.044622 3350.551274
2029.714989 3355.812072
2029.385463 3361.092561
2029.056044 3366.392880
2028.726732 3371.713170
2028.397527 3377.053570
2028.068429 3382.414224
2027.739437 3387.795276
2027.410552 3393.196871
2027.081774 3398.619156
2026.753103 3404.062280
2026.424538 3409.526391
2026.096079 3415.011643
2025.767727 3420.518186
2025.439482 3426.046175
2025.111342 3431.595767
2024.783309 3437.167118
2024.455383 3442.760387
2024.127562 3448.375735
2023.799848 3454.013324
2023.472240 3459.673318
2023.144738 3465.355881
2022.817341 3471.061181
2022.490051 3476.789386
2022.162867 3482.540667
2021.835788 3488.315197
2021.508816 3494.113148
2021.181949 3499.934696
2020.855187 3505.780019
2020.528532 3511.649297
2020.201982 3517.542709
2019.875537 3523.460439
2019.549198 3529.402672
2019.222965 3535.369594
2018.896836 3541.361394
2018.570814 3547.378262
2018.244896 3553.420391
2017.919084 3559.487976
2017.593376 3565.581212
2017.267774 3571.700299
2016.942277 3577.845437
2016.616885 3584.016828
2016.291598 3590.214678
2015.966416 3596.439193
2015.641339 3602.690583
2015.316367 3608.969059
2014.991499 3615.274834
2014.666736 3621.608125
2014.342078 3627.969148
2014.017524 3634.358126
2013.693075 3640.775280
2013.368731 3647.220836
2013.044491 3653.695021
2012.720355 3660.198065
2012.396324 3666.730200
2012.072397 3673.291661
2011.748574 3679.882687
2011.424856 3686.503516
2011.101241 3693.154391
2010.777731 3699.835558
2010.454325 3706.547263
2010.131023 3713.289759
2009.807825 3720.063297
2009.484730 3726.868135
2009.161740 3733.704530
2008.838853 3740.572744
2008.516071 3747.473042
2008.193392 3754.405691
2007.870816 3761.370962
2007.548344 3768.369127
2007.225976 3775.400463
2006.903711 3782.465249
2006.581550 3789.563768
2006.259492 3796.696305
2005.937538 3803.863149
2005.615687 3811.064592
2005.293939 3818.300929
2004.972294 3825.572458
2004.650752 3832.879482
2004.329314 3840.222305
2004.007979 3847.601236
2003.686746 3855.016587
2003.365617 3862.468674
2003.044591 3869.957817
2002.723667 3877.484336
2002.402846 3885.048561
2002.082128 3892.650819
2001.761513 3900.291446
2001.441000 3907.970778
2001.120590 3915.689158
2000.800283 3923.446931
2000.480078 3931.244446
2000.159976 3939.082057
1999.839976 3946.960121
1999.520078 3954.879000
1999.200283 3962.839059
1998.880590 3970.840669
1998.560999 3978.884203
1998.241510 3986.970041
1997.922124 3995.098565
1997.602840 4003.270163
1997.283657 4011.485226
1996.964577 4019.744151
1996.645598 4028.047340
1996.326722 4036.395198
1996.007947 4044.788135
1995.689274 4053.226568
1995.370703 4061.710916
1995.052234 4070.241604
1994.733866 4078.819064
1994.415599 4087.443730
1994.097435 4096.116042
1993.779371 4104.836447
1993.461410 4113.605395
1993.143549 4122.423344
1992.825790 4131.290753
1992.508133 4140.208092
1992.190576 4149.175833
1991.873121 4158.194454
1991.555767 4167.264439
1991.238514 4176.386280
1990.921362 4185.560471
1990.604311 4194.787515
1990.287361 4204.067919
1989.970512 4213.402198
1989.653764 4222.790873
1989.337116 4232.234469
1989.020570 4241.733520
1988.704124 4251.288565
1988.387779 4260.900151
1988.071534 4270.568829
1987.755390 4280.295160
1987.439347 4290.079710
1987.123404 4299.923051
1986.807561 4309.825765
1986.491819 4319.788437
1986.176177 4329.811664
1985.860636 4339.896046
1985.545194 4350.042192
1985.229853 4360.250720
1984.914612 4370.522254
1984.599472 4380.857425
1984.284431 4391.256874
1983.969490 4401.721247
1983.654649 4412.251201
1983.339908 4422.847400
1983.025267 4433.510516
1982.710726 4444.241228
1982.396285 4455.040227
1982.081943 4465.908209
1981.767701 4476.845880
1981.453558 4487.853955
1981.139516 4498.933159
1980.825572 4510.084224
1980.511728 4521.307891
1980.197984 4532.604914
1979.884339 4543.976051
1979.570793 4555.422074
1979.257347 4566.943761
1978.944000 4578.541904
1978.630752 4590.217302
1978.317603 4601.970763
1978.004553 4613.803109
1977.691603 4625.715168
1977.378751 4637.707783
1977.065998 4649.781803
1976.753345 4661.938091
1976.440790 4674.177520
1976.128334 4686.500973
1975.815976 4698.909345
1975.503718 4711.403543
1975.191558 4723.984484
1974.879497 4736.653097
1974.567534 4749.410323
1974.255670 4762.257115
1973.943904 4775.194439
1973.632237 4788.223270
1973.320669 4801.344599
1973.009198 4814.559427
1972.697826 4827.868769
1972.386552 4841.273652
1972.075377 4854.775117
1971.764299 4868.374217
1971.453320 4882.072019
1971.142439 4895.869603
1970.831656 4909.768063
1970.520970 4923.768507
1970.210383 4937.872055
1969.899894 4952.079845
1969.589502 4966.393026
1969.279209 4980.812762
1968.969013 4995.340233
1968.658914 5009.976632
1968.348914 5024.723169
1968.039011 5039.581067
1967.729205 5054.551566
1967.419497 5069.635921
1967.109887 5084.835402
1966.800374 5100.151295
1966.490958 5115.584903
1966.181640 5131.137544
